Time Value
20230427T182735 1.609383
20230427T182735 1.609370
20230427T182736 1.609386
20230427T182737 1.609499
20230427T182738 1.609339
20230427T182739 1.609743
20230427T182740 1.609845
20230427T182741 1.609388
20230427T182742 1.609522
20230427T182743 1.609352
20230427T182744 1.609432
20230427T182745 1.609392
20230427T182746 1.609505
20230427T182747 1.609561
20230427T182748 1.609805
20230427T182749 1.609636
20230427T182750 1.609527
20230427T182751 1.609429
20230427T182752 1.609605
20230427T182753 1.609497
20230427T182754 1.609482
20230427T182755 1.609375
20230427T182756 1.609487
20230427T182757 1.609559
20230427T182758 1.609477
20230427T182759 1.609371
20230427T182800 1.609575
20230427T182801 1.609563
20230427T182802 1.609473
20230427T182803 1.609220
20230427T182804 1.609380
20230427T182805 1.609465
20230427T182806 1.609455
20230427T182807 1.609540
20230427T182808 1.609417
20230427T182809 1.609417
20230427T182810 1.609145
20230427T182811 1.609523
20230427T182812 1.609390
20230427T182813 1.609692
20230427T182814 1.609634
20230427T182815 1.609366
20230427T182816 1.609233
20230427T182817 1.609304
20230427T182818 1.609639
20230427T182819 1.609445
20230427T182820 1.609492
20230427T182821 1.609552
20230427T182822 1.609606
20230427T182823 1.609525
20230427T182824 1.609676
20230427T182825 1.609774
20230427T182826 1.609555
20230427T182827 1.609457
20230427T182828 1.609175
20230427T182829 1.609494
20230427T182830 1.609446
20230427T182831 1.609882
20230427T182832 1.609397
20230427T182833 1.609624
20230427T182834 1.609461
20230427T182835 1.609576
20230427T182836 1.609354
20230427T182837 1.609881
20230427T182838 1.609446
20230427T182839 1.609315
20230427T182840 1.609598
20230427T182841 1.609417
20230427T182842 1.609713
20230427T182843 1.609017
20230427T182844 1.609330
20230427T182845 1.609539
20230427T182846 1.609228
20230427T182847 1.609090
20230427T182848 1.609047
20230427T182849 1.609174
20230427T182850 1.609592
20230427T182851 1.615057
20230427T182852 1.618008
20230427T182853 1.621505
20230427T182854 1.617802
20230427T182855 1.620354
20230427T182856 1.627010
20230427T182857 1.610624
20230427T182858 1.610775
20230427T182859 1.612051
20230427T182900 1.611351
20230427T182901 1.609278
20230427T182902 1.609281
20230427T182903 1.608668
20230427T182904 1.608984
20230427T182905 1.609456
20230427T182906 1.645584
20230427T182907 1.673591
20230427T182908 1.676918
20230427T182909 1.676581
20230427T182910 1.677946
20230427T182911 1.677029
20230427T182912 1.678219
20230427T182913 1.676951
20230427T182914 1.678335
20230427T182915 1.677148
20230427T182916 1.677637
20230427T182917 1.678328
20230427T182918 1.678173
20230427T182919 1.677430
20230427T182920 1.677852
20230427T182921 1.678044
20230427T182922 1.678250
20230427T182923 1.677674
20230427T182924 1.678105
20230427T182925 1.677770
20230427T182926 1.678101
20230427T182927 1.677704
20230427T182928 1.678268
20230427T182929 1.678304
20230427T182930 1.677890
20230427T182931 1.678052
20230427T182932 1.678221
20230427T182933 1.677602
20230427T182934 1.678425
20230427T182935 1.678164
20230427T182936 1.677856
20230427T182937 1.678260
20230427T182938 1.678514
20230427T182939 1.678523
20230427T182940 1.677843
20230427T182941 1.678492
20230427T182942 1.678417
20230427T182943 1.678477
20230427T182944 1.678176
20230427T182945 1.678495
20230427T182946 1.678269
20230427T182947 1.678126
20230427T182948 1.678164
20230427T182949 1.678466
20230427T182950 1.678091
20230427T182951 1.678143
20230427T182952 1.678255
20230427T182953 1.678694
20230427T182954 1.678087
20230427T182955 1.678491
20230427T182956 1.678654
20230427T182957 1.678303
20230427T182958 1.678079
20230427T182959 1.678477
20230427T183000 1.678326
20230427T183001 1.678641
20230427T183002 1.677451
20230427T183003 1.678145
20230427T183004 1.678136
20230427T183005 1.678269
20230427T183006 1.678295
20230427T183007 1.678350
20230427T183008 1.678246
20230427T183009 1.678557
20230427T183010 1.677918
20230427T183011 1.678592
20230427T183012 1.678087
20230427T183013 1.678181
20230427T183014 1.678433
20230427T183015 1.678734
20230427T183016 1.678166
20230427T183017 1.678087
20230427T183018 1.678371
20230427T183019 1.678522
20230427T183020 1.677773
20230427T183021 1.678386
20230427T183022 1.678223
20230427T183023 1.678194
20230427T183024 1.678101
20230427T183025 1.678606
20230427T183026 1.678060
20230427T183027 1.678105
20230427T183028 1.678499
20230427T183029 1.678332
20230427T183030 1.678478
20230427T183031 1.678535
20230427T183032 1.678444
20230427T183033 1.678683
20230427T183034 1.678395
20230427T183035 1.678376
20230427T183036 1.678473
20230427T183037 1.678350
20230427T183038 1.678328
20230427T183039 1.678424
20230427T183040 1.678519
20230427T183041 1.678403
20230427T183042 1.678204
20230427T183043 1.678282
20230427T183044 1.678590
20230427T183045 1.678612
20230427T183046 1.678552
20230427T183047 1.678340
20230427T183048 1.678465
20230427T183049 1.678354
20230427T183050 1.678326
20230427T183051 1.678426
20230427T183052 1.678287
20230427T183053 1.678266
20230427T183054 1.678579
20230427T183055 1.678030
20230427T183056 1.678406
20230427T183057 1.678177
20230427T183058 1.678515
20230427T183059 1.678393
20230427T183100 1.678168
20230427T183101 1.678322
20230427T183102 1.678657
20230427T183103 1.678287
20230427T183104 1.678625
20230427T183105 1.678599
20230427T183106 1.678479
20230427T183107 1.678024
20230427T183108 1.678855
20230427T183109 1.678588
20230427T183110 1.678367
20230427T183111 1.678212
20230427T183112 1.678358
20230427T183113 1.678195
20230427T183114 1.678264
20230427T183115 1.678317
20230427T183116 1.678650
20230427T183117 1.678559
20230427T183118 1.678589
20230427T183119 1.678192
20230427T183120 1.678652
20230427T183121 1.678212
20230427T183122 1.678588
20230427T183123 1.678713
20230427T183124 1.678383
20230427T183125 1.678510
20230427T183126 1.678239
20230427T183127 1.677531
20230427T183128 1.678919
20230427T183129 1.677955
20230427T183130 1.678521
20230427T183131 1.681333
20230427T183132 1.741428
20230427T183133 1.740857
20230427T183134 1.742401
20230427T183135 1.741897
20230427T183136 1.742537
20230427T183137 1.742151
20230427T183138 1.743116
20230427T183139 1.742818
20230427T183140 1.742197
20230427T183141 1.742948
20230427T183142 1.743355
20230427T183143 1.743230
20230427T183144 1.742547
20230427T183145 1.742203
20230427T183146 1.742666
20230427T183147 1.743298
20230427T183148 1.742394
20230427T183149 1.743008
20230427T183150 1.743009
20230427T183151 1.742907
20230427T183152 1.742568
20230427T183153 1.743146
20230427T183154 1.743170
20230427T183155 1.743278
20230427T183156 1.742728
20230427T183157 1.743323
20230427T183158 1.742652
20230427T183159 1.742816
20230427T183200 1.743036
20230427T183201 1.742597
20230427T183202 1.742412
20230427T183203 1.743181
20230427T183204 1.742652
20230427T183205 1.742928
20230427T183206 1.742653
20230427T183207 1.743130
20230427T183208 1.743066
