Time Value
20230331T110316 2.388488
20230331T110317 2.388775
20230331T110318 2.388611
20230331T110319 2.388784
20230331T110320 2.388824
20230331T110321 2.388233
20230331T110322 2.389503
20230331T110323 2.388819
20230331T110324 2.389655
20230331T110325 2.389640
20230331T110326 2.389003
20230331T110327 2.389391
20230331T110328 2.389147
20230331T110329 2.390105
20230331T110330 2.388619
20230331T110331 2.389568
20230331T110332 2.389244
20230331T110333 2.389181
20230331T110334 2.389754
20230331T110335 2.389899
20230331T110336 2.389884
20230331T110337 2.389347
20230331T110338 2.389568
20230331T110339 2.389439
20230331T110340 2.390025
20230331T110341 2.389308
20230331T110342 2.389462
20230331T110343 2.389418
20230331T110344 2.390106
20230331T110345 2.389413
20230331T110346 2.389399
20230331T110347 2.389872
20230331T110348 2.389328
20230331T110349 2.389964
20230331T110350 2.389733
20230331T110351 2.389765
20230331T110352 2.389595
20230331T110353 2.389783
20230331T110354 2.389443
20230331T110355 2.390032
20230331T110356 2.390116
20230331T110357 2.389471
20230331T110358 2.390009
20230331T110359 2.389826
20230331T110400 2.389504
20230331T110401 2.390205
20230331T110402 2.389632
20230331T110403 2.390216
20230331T110404 2.389557
20230331T110405 2.389859
20230331T110406 2.390101
20230331T110407 2.389178
20230331T110408 2.390217
20230331T110409 2.388886
20230331T110410 2.390213
20230331T110411 2.389577
20230331T110412 2.389708
20230331T110413 2.390263
20230331T110414 2.389879
20230331T110415 2.389815
20230331T110416 2.389703
20230331T110417 2.389526
20230331T110418 2.390292
20230331T110419 2.389719
20230331T110420 2.390330
20230331T110421 2.389591
20230331T110422 2.390185
20230331T110423 2.390102
20230331T110424 2.389952
20230331T110425 2.390116
20230331T110426 2.389778
20230331T110427 2.389974
20230331T110428 2.389544
20230331T110429 2.389719
20230331T110430 2.389748
20230331T110431 2.390148
20230331T110432 2.389755
20230331T110433 2.390052
20230331T110434 2.389711
20230331T110435 2.390253
20230331T110436 2.390196
20230331T110437 2.389381
20230331T110438 2.390761
20230331T110439 2.389924
20230331T110440 2.390114
20230331T110441 2.390568
20230331T110442 2.389495
20230331T110443 2.390604
20230331T110444 2.389517
20230331T110445 2.390408
20230331T110446 2.390019
20230331T110447 2.389689
20230331T110448 2.390530
20230331T110449 2.389387
20230331T110450 2.390450
20230331T110451 2.389788
20230331T110452 2.390156
20230331T110453 2.389849
20230331T110454 2.390267
20230331T110455 2.389896
20230331T110456 2.390199
20230331T110457 2.389875
20230331T110458 2.390031
20230331T110459 2.390088
20230331T110500 2.390631
20230331T110501 2.389853
20230331T110502 2.390067
20230331T110503 2.389328
20230331T110504 2.390050
20230331T110505 2.389973
20230331T110506 2.390052
20230331T110507 2.390679
20230331T110508 2.389250
20230331T110509 2.390871
20230331T110510 2.389596
20230331T110511 2.390043
20230331T110512 2.389827
20230331T110513 2.390121
20230331T110514 2.390769
20230331T110515 2.390167
20230331T110516 2.389907
20230331T110517 2.389648
20230331T110518 2.390438
